"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CRIM1",0.00476595,0.009881601,0.002404958,0.001339787,0.005229105,0.005682453,0.001151315,0.009991936,0.007378521,0.010523571,0.009199228,0.014521843
"CRTAM",0,0,0,3.57e-06,0,1.37e-05,0,0,5.36e-06,0,0,4.23e-05
"CSF1",0.017973813,0.025002027,0.043836733,0.019553229,0.009870835,0.011192807,0.015048688,0.067623466,0.025970311,0.122100781,0.009229973,0.008898511
"CSF1R",0.003727493,0.002482956,0.00883904,0.002392362,0.003460503,0.004800523,0.001601444,0.001762592,0.003725613,0.003417896,0.011725063,0.000975294
"CSF2RB",0,4.55e-07,7.84e-06,5.33e-07,0,0,0,0,0,0,0,5.53e-07
"CSF3R",0,7.65e-06,0.000128781,0.000155289,1.09e-06,0,1.93e-06,0,6.43e-07,1.1e-05,1.92e-06,0
"CSMD1",9.89e-07,4.21e-07,9.75e-07,3.06e-06,4.95e-07,6.34e-06,0,4.21e-07,2.04e-06,1.26e-06,4.88e-07,0
"CSMD2",0,0,6.48e-06,2.67e-06,0,0,0,0,0,0,0,0
"CSMD3",3.8e-06,0,0,1.76e-06,0,1.69e-05,0,0,0,1.11e-06,1.88e-06,5.7e-06
"CSPG4",0,1.61e-06,1.48e-05,4.58e-05,1.76e-06,0.000350971,0.00013563,1.09e-05,0.000619077,6.09e-05,1.32e-05,2.35e-06
"CSPG5",0.000440995,0.000170487,0.001726191,0.003690861,0.000200452,0.000421665,0.000936487,0.003023297,0.000605962,0.0004319,0.000948746,0.000494449
"CTLA4",0,0.000744609,0,0,0,0,0,0.000301869,0,0,0.004332805,0
"CTNNA1",0.515883447,0.269234935,0.57227629,0.321076728,0.248961111,0.24630758,0.765620911,0.428093017,0.861428517,0.629115306,0.269292304,0.811493781
"CTNNB1",0.187089365,0.086956629,0.269575421,0.034638412,0.081041164,0.086693007,0.147260426,0.148597734,0.099775361,0.145149815,0.200015813,0.242779482
