"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"MGST2",0.000335412,0.0001374,0.00032141,0.000104047,8.04e-05,0.000148829,0.000554866,0.000147247,6.14e-05,4.62e-05,0.000144876
"MIB1",0.002772588,0.000422476,0.003249737,0.000774791,0.001518911,0.003971221,0.002609723,0.002419192,0.004528053,0.00153803,0.001218332
"MILR1",0.022216994,0.000410659,0.014234486,0.000347586,0.007823762,0.000574841,0.002735321,0.006777925,0.012880457,0.009684232,0.000347586
"MIP",9.91e-06,0,0,2.7e-05,0,2.91e-05,4.95e-06,1.35e-05,0,1.13e-05,2.7e-05
"MLC1",0,5.16e-06,4.39e-06,0,0,1.03e-05,0,1.02e-05,3.19e-05,0,2.04e-05
"MLNR",0,0,0,0,0,0,0,0,0,2.29e-06,0
"MMD",0.000323655,0.000117962,0.000443551,0.000138383,0.000257349,0.000286986,5.68e-05,0.000191194,0.000441247,0.000564208,9.7e-05
"MME",0.000130894,0.00010327,0.004024011,2.61e-05,0.000437984,0.001473937,1.19e-05,0.00330844,5.01e-06,1.7e-05,0.000396453
"MMGT1",0.126866118,0.006511355,0.057817366,0.009126774,0.01486274,0.027130647,0.02550601,0.040721519,0.041042052,0.028972069,0.028937243
"MMP14",0.006518872,0.001355029,0.016568008,0.006939097,0.008046042,0.017215436,0.012182697,0.002767155,0.017948362,0.006654913,0.001012941
"MMP15",0.003201391,0.057835172,0.003306437,0.004710305,0.001883778,0.031494707,0.005067202,0.024627223,0.000566943,0.000676392,0.002851472
"MMP16",3.67e-06,1.02e-05,3.67e-06,1.29e-05,2.66e-05,1.36e-05,6.11e-06,5.72e-06,0.005788205,4.59e-05,4.29e-06
"MMP24",0.000327419,9.01e-05,6.75e-05,6.07e-05,5.78e-06,0.000170012,4.23e-05,0.000315928,2.31e-05,0.00036523,3.85e-05
"MPEG1",0,0,0,0,0,0,0,0,0,0,0
"MPL",5.55e-07,0,1.11e-06,0,2.69e-06,6.53e-07,0,1.29e-06,1.35e-06,2.69e-06,6.44e-07
"MPP1",0.001208592,0.002117703,0.001461553,0.006287633,0.006592522,0.002035195,0.001405339,0.002224855,0.003186052,0.018274711,0.001579969
