,tissueType,cellName,CellMarker,shortName,type
3429,Muscle,Vascular endothelial cells,ANO2,,other
3430,Muscle,Vascular endothelial cells,AP001597.1,,other
3431,Muscle,Smooth muscle cells,OR51E2,,other
3432,Muscle,Smooth muscle cells,AC131025.8,,other
3433,Muscle,Smooth muscle cells,ADORA2B,,other
3434,Muscle,Smooth muscle cells,MYH11,,other
3435,Muscle,Smooth muscle cells,SLC38A11,,other
3436,Muscle,Smooth muscle cells,MIR143HG,,other
3437,Muscle,Smooth muscle cells,MIR145,,other
3438,Muscle,Smooth muscle cells,RP11-1101K5.1,,other
3439,Muscle,Smooth muscle cells,P2RX3,,other
3440,Muscle,Smooth muscle cells,GPR176,,other
3441,Muscle,Smooth muscle cells,ANO1,,other
3442,Muscle,Smooth muscle cells,OR51E1,,other
3443,Muscle,Smooth muscle cells,CORIN,,other
3444,Muscle,Smooth muscle cells,CACNA1C-IT3,,other
3445,Muscle,Smooth muscle cells,TMC4,,other
3446,Muscle,Myeloid cells,FCN1,,other
3447,Muscle,Myeloid cells,MS4A4E,,other
3448,Muscle,Myeloid cells,TMPRSS4-AS1,,other
3449,Muscle,Myeloid cells,CD86,,other
3450,Muscle,Myeloid cells,FLT3,,other
3451,Muscle,Myeloid cells,P2RY13,,other
3452,Muscle,Myeloid cells,IL10RA,,other
3453,Muscle,Myeloid cells,FOLR2,,other
3454,Muscle,Myeloid cells,MNDA,,other
3455,Muscle,Myeloid cells,HLA-DQB1,,other
3456,Muscle,Myeloid cells,MS4A4A,,other
3457,Muscle,Myeloid cells,AMICA1,,other
3458,Muscle,Myeloid cells,CYTH4,,other
3459,Muscle,Myeloid cells,MS4A6A,,other
3460,Muscle,Myeloid cells,CFP,,other
3461,Muscle,Lymphoid cells,IL7R,,other
3462,Muscle,Lymphoid cells,CD8A,,other
3463,Muscle,Lymphoid cells,NKG7,,other
3464,Muscle,Lymphoid cells,CD247,,other
3465,Muscle,Lymphoid cells,NCR1,,other
3466,Muscle,Lymphoid cells,RP11-61O1.1,,other
3467,Muscle,Lymphoid cells,TRAC,,other
3468,Muscle,Lymphoid cells,CD3E,,other
3469,Muscle,Lymphoid cells,ITK,,other
3470,Muscle,Lymphoid cells,CD2,,other
3471,Muscle,Lymphoid cells,MATK,,other
3472,Muscle,Lymphoid cells,RP11-444A22.1,,other
3473,Muscle,Lymphoid cells,SYTL1,,other
3474,Muscle,Lymphoid cells,IL2RB,,other
3475,Muscle,Lymphoid cells,GZMA,,other
3476,Placenta,PAEP_MECOM positive cells,RP11-98L5.2,,other
3477,Placenta,PAEP_MECOM positive cells,AC104654.1,,other
3478,Placenta,PAEP_MECOM positive cells,PAEP,,other
3479,Placenta,PAEP_MECOM positive cells,RP11-274B18.4,,other
3480,Placenta,PAEP_MECOM positive cells,PIGR,,other
3481,Placenta,PAEP_MECOM positive cells,TSPAN1,,other
3482,Placenta,PAEP_MECOM positive cells,AC012593.1,,other
3483,Placenta,PAEP_MECOM positive cells,RP11-510D19.1,,other
3484,Placenta,PAEP_MECOM positive cells,POU5F1,,other
3485,Placenta,PAEP_MECOM positive cells,UGT2B7,,other
3486,Placenta,PAEP_MECOM positive cells,DEFB1,,other
3487,Placenta,PAEP_MECOM positive cells,RP11-697E22.2,,other
3488,Placenta,PAEP_MECOM positive cells,SLC18A2,,other
3489,Placenta,PAEP_MECOM positive cells,PAX8,,other
3490,Placenta,PAEP_MECOM positive cells,SLPI,,other
3491,Placenta,AFP_ALB positive cells,SLC2A2,,other
3492,Placenta,AFP_ALB positive cells,ALB,,other
3493,Placenta,AFP_ALB positive cells,APOB,,other
3494,Placenta,AFP_ALB positive cells,AFP,,other
3495,Placenta,AFP_ALB positive cells,ITIH2,,other
3496,Placenta,AFP_ALB positive cells,F2,,other
3497,Placenta,AFP_ALB positive cells,MAT1A,,other
3498,Placenta,AFP_ALB positive cells,APOC3,,other
3499,Placenta,AFP_ALB positive cells,SERPINC1,,other
3500,Placenta,AFP_ALB positive cells,FABP1,,other
3501,Placenta,AFP_ALB positive cells,APOA2,,other
3502,Placenta,AFP_ALB positive cells,AHSG,,other
3503,Placenta,AFP_ALB positive cells,SERPINA10,,other
3504,Placenta,AFP_ALB positive cells,SLC38A3,,other
3505,Placenta,AFP_ALB positive cells,SERPINA4,,other
3506,Placenta,Extravillous trophoblasts,AC022596.6,,other
3507,Placenta,Extravillous trophoblasts,GKN1,,other
3508,Placenta,Extravillous trophoblasts,CILP2,,other
3509,Placenta,Extravillous trophoblasts,LINC00330,,other
3510,Placenta,Extravillous trophoblasts,PDE6H,,other
3511,Placenta,Extravillous trophoblasts,PRG2,,other
3512,Placenta,Extravillous trophoblasts,RP11-872D17.8,,other
3513,Placenta,Extravillous trophoblasts,HLA-G,,other
3514,Placenta,Extravillous trophoblasts,ASCL2,,other
3515,Placenta,Extravillous trophoblasts,NOTUM,,other
